    parsed | total average parse time | recent average parse time |       kept | % of total |   last kept | last kept time | elapsed time

    178656 |                  0.622ms |                   0.361ms |        210 |     0.118% |    Q1519198 |    10:30:40 PM |     00:01:51
    181487 |                  0.617ms |                   0.353ms |        211 |     0.116% |    Q1547362 |    10:30:41 PM |     00:01:52
    184130 |                  0.614ms |                   0.378ms |        213 |     0.116% |    Q1575134 |    10:30:42 PM |     00:01:53
    186488 |                  0.612ms |                   0.424ms |        215 |     0.115% |    Q1601362 |    10:30:43 PM |     00:01:54
    188753 |                   0.61ms |                   0.442ms |        216 |     0.114% |    Q1620205 |    10:30:44 PM |     00:01:55
    190973 |                  0.608ms |                   0.451ms |        220 |     0.115% |    Q1635458 |    10:30:45 PM |     00:01:56
    193129 |                  0.606ms |                   0.464ms |        221 |     0.114% |    Q1648555 |    10:30:46 PM |     00:01:57
    195916 |                  0.603ms |                   0.359ms |        223 |     0.114% |    Q1665277 |    10:30:47 PM |     00:01:58
    198267 |                    0.6ms |                   0.425ms |        223 |     0.112% |    Q1665277 |    10:30:47 PM |     00:01:59
    200939 |                  0.597ms |                   0.374ms |        223 |     0.111% |    Q1665277 |    10:30:47 PM |     00:02:00
    203841 |                  0.594ms |                   0.345ms |        225 |      0.11% |    Q1742964 |    10:30:50 PM |     00:02:01
    206122 |                  0.592ms |                   0.438ms |        231 |     0.112% |    Q1758798 |    10:30:51 PM |     00:02:02
    208551 |                   0.59ms |                   0.412ms |        232 |     0.111% |    Q1772886 |    10:30:52 PM |     00:02:03
    211433 |                  0.587ms |                   0.347ms |        232 |      0.11% |    Q1772886 |    10:30:52 PM |     00:02:04
    214605 |                  0.583ms |                   0.315ms |        234 |     0.109% |    Q1824652 |    10:30:54 PM |     00:02:05
    218302 |                  0.577ms |                    0.27ms |        235 |     0.108% |    Q1862100 |    10:30:55 PM |     00:02:06
    221284 |                  0.574ms |                   0.335ms |        236 |     0.107% |    Q1873857 |    10:30:56 PM |     00:02:07
    223813 |                  0.572ms |                   0.395ms |        237 |     0.106% |    Q1913658 |    10:30:57 PM |     00:02:08
    226478 |                   0.57ms |                   0.375ms |        237 |     0.105% |    Q1913658 |    10:30:57 PM |     00:02:09
    229433 |                  0.567ms |                   0.338ms |        237 |     0.103% |    Q1913658 |    10:30:57 PM |     00:02:10
    232348 |                  0.564ms |                   0.343ms |        241 |     0.104% |    Q1983003 |    10:31:00 PM |     00:02:11
    235035 |                  0.562ms |                   0.372ms |        243 |     0.103% |    Q2004182 |    10:31:01 PM |     00:02:12
    237911 |                  0.559ms |                   0.348ms |        243 |     0.102% |    Q2004182 |    10:31:01 PM |     00:02:13
    240746 |                  0.557ms |                   0.353ms |        244 |     0.101% |    Q2035067 |    10:31:03 PM |     00:02:14
    243220 |                  0.555ms |                   0.404ms |        246 |     0.101% |    Q2076795 |    10:31:04 PM |     00:02:15
    245890 |                  0.553ms |                   0.375ms |        247 |       0.1% |    Q2080394 |    10:31:05 PM |     00:02:16
    249303 |                   0.55ms |                   0.293ms |        247 |     0.099% |    Q2080394 |    10:31:05 PM |     00:02:17
    252540 |                  0.547ms |                   0.309ms |        247 |     0.098% |    Q2080394 |    10:31:05 PM |     00:02:18
    255538 |                  0.544ms |                   0.334ms |        248 |     0.097% |    Q2164516 |    10:31:08 PM |     00:02:19
    259028 |                  0.541ms |                   0.287ms |        248 |     0.096% |    Q2164516 |    10:31:08 PM |     00:02:20
    261848 |                  0.539ms |                   0.355ms |        248 |     0.095% |    Q2164516 |    10:31:08 PM |     00:02:21
    265137 |                  0.536ms |                   0.304ms |        249 |     0.094% |    Q2248886 |    10:31:11 PM |     00:02:22
    268183 |                  0.533ms |                   0.328ms |        249 |     0.093% |    Q2248886 |    10:31:11 PM |     00:02:23
    271250 |                  0.531ms |                   0.326ms |        249 |     0.092% |    Q2248886 |    10:31:11 PM |     00:02:24
    274435 |                  0.529ms |                   0.314ms |        249 |     0.091% |    Q2248886 |    10:31:11 PM |     00:02:25
    277405 |                  0.527ms |                   0.337ms |        252 |     0.091% |    Q2360339 |    10:31:15 PM |     00:02:26
    280541 |                  0.524ms |                   0.319ms |        253 |      0.09% |    Q2393792 |    10:31:16 PM |     00:02:27
    283454 |                  0.522ms |                   0.343ms |        255 |      0.09% |    Q2414279 |    10:31:17 PM |     00:02:28
    286480 |                   0.52ms |                    0.33ms |        255 |     0.089% |    Q2414279 |    10:31:17 PM |     00:02:29
    289472 |                  0.518ms |                   0.334ms |        256 |     0.088% |    Q2447644 |    10:31:19 PM |     00:02:30
    292563 |                  0.516ms |                   0.324ms |        257 |     0.088% |    Q2487461 |    10:31:20 PM |     00:02:31
    295692 |                  0.514ms |                    0.32ms |        258 |     0.087% |    Q2512768 |    10:31:21 PM |     00:02:32
    298650 |                  0.512ms |                   0.338ms |        259 |     0.087% |    Q2531387 |    10:31:22 PM |     00:02:33
    301471 |                  0.511ms |                   0.354ms |        259 |     0.086% |    Q2531387 |    10:31:22 PM |     00:02:34
    304337 |                  0.509ms |                   0.349ms |        260 |     0.085% |    Q2596226 |    10:31:24 PM |     00:02:35
    306831 |                  0.509ms |                   0.401ms |        261 |     0.085% |    Q2620085 |    10:31:25 PM |     00:02:36
    309397 |                  0.508ms |                    0.39ms |        263 |     0.085% |    Q2643251 |    10:31:26 PM |     00:02:37
    312089 |                  0.506ms |                   0.371ms |        263 |     0.084% |    Q2643251 |    10:31:26 PM |     00:02:38
    315180 |                  0.505ms |                   0.324ms |        264 |     0.084% |    Q2685072 |    10:31:28 PM |     00:02:39
    318100 |                  0.503ms |                   0.342ms |        264 |     0.083% |    Q2685072 |    10:31:28 PM |     00:02:40
    321440 |                  0.501ms |                   0.299ms |        265 |     0.082% |    Q2760639 |    10:31:30 PM |     00:02:41
    325623 |                  0.498ms |                   0.239ms |        266 |     0.082% |    Q2796182 |    10:31:31 PM |     00:02:42
    329240 |                  0.495ms |                   0.276ms |        266 |     0.081% |    Q2796182 |    10:31:31 PM |     00:02:43
    332173 |                  0.494ms |                   0.341ms |        267 |      0.08% |    Q2865999 |    10:31:33 PM |     00:02:44
    335514 |                  0.492ms |                   0.299ms |        268 |      0.08% |    Q2888202 |    10:31:34 PM |     00:02:45
    338687 |                   0.49ms |                   0.315ms |        270 |      0.08% |    Q2919618 |    10:31:35 PM |     00:02:46
    342310 |                  0.488ms |                   0.276ms |        270 |     0.079% |    Q2919618 |    10:31:35 PM |     00:02:47
    346145 |                  0.486ms |                   0.261ms |        270 |     0.078% |    Q2919618 |    10:31:35 PM |     00:02:48
    349107 |                  0.484ms |                   0.338ms |        270 |     0.077% |    Q2919618 |    10:31:35 PM |     00:02:49
    352496 |                  0.482ms |                   0.295ms |        270 |     0.077% |    Q2919618 |    10:31:35 PM |     00:02:50
    355610 |                  0.481ms |                   0.321ms |        270 |     0.076% |    Q2919618 |    10:31:35 PM |     00:02:51
    358249 |                   0.48ms |                   0.379ms |        271 |     0.076% |    Q3088602 |    10:31:41 PM |     00:02:52
    361209 |                  0.479ms |                   0.338ms |        273 |     0.076% |    Q3130956 |    10:31:42 PM |     00:02:53
    364288 |                  0.478ms |                   0.325ms |        273 |     0.075% |    Q3130956 |    10:31:42 PM |     00:02:54
    366576 |                  0.478ms |                   0.437ms |        273 |     0.074% |    Q3130956 |    10:31:42 PM |     00:02:55
    369425 |                  0.477ms |                   0.351ms |        273 |     0.074% |    Q3130956 |    10:31:42 PM |     00:02:56
    372941 |                  0.475ms |                   0.284ms |        273 |     0.073% |    Q3130956 |    10:31:42 PM |     00:02:57
    376244 |                  0.473ms |                   0.303ms |        274 |     0.073% |    Q3270899 |    10:31:47 PM |     00:02:58
    378969 |                  0.472ms |                   0.367ms |        274 |     0.072% |    Q3270899 |    10:31:47 PM |     00:02:59
    381884 |                  0.471ms |                   0.343ms |        278 |     0.073% |    Q3322746 |    10:31:49 PM |     00:03:00
    385094 |                   0.47ms |                   0.312ms |        283 |     0.073% |    Q3346043 |    10:31:50 PM |     00:03:01
    388174 |                  0.469ms |                   0.325ms |        283 |     0.073% |    Q3346043 |    10:31:50 PM |     00:03:02
    391799 |                  0.467ms |                   0.276ms |        283 |     0.072% |    Q3346043 |    10:31:50 PM |     00:03:03
    394977 |                  0.466ms |                   0.315ms |        283 |     0.072% |    Q3346043 |    10:31:50 PM |     00:03:04
    398357 |                  0.465ms |                   0.296ms |        283 |     0.071% |    Q3346043 |    10:31:50 PM |     00:03:05
    401671 |                  0.463ms |                   0.302ms |        285 |     0.071% |    Q3494094 |    10:31:55 PM |     00:03:06
    405211 |                  0.462ms |                   0.282ms |        287 |     0.071% |    Q3518027 |    10:31:56 PM |     00:03:07
    408522 |                   0.46ms |                   0.302ms |        288 |      0.07% |    Q3559311 |    10:31:57 PM |     00:03:08
    411958 |                  0.459ms |                   0.291ms |        288 |      0.07% |    Q3559311 |    10:31:57 PM |     00:03:09
    415328 |                  0.458ms |                   0.297ms |        290 |      0.07% |    Q3624379 |    10:31:59 PM |     00:03:10
    419294 |                  0.456ms |                   0.253ms |        290 |     0.069% |    Q3624379 |    10:31:59 PM |     00:03:11
    423108 |                  0.454ms |                   0.262ms |        290 |     0.069% |    Q3624379 |    10:31:59 PM |     00:03:12
    426350 |                  0.453ms |                   0.308ms |        290 |     0.068% |    Q3624379 |    10:31:59 PM |     00:03:13
    429579 |                  0.452ms |                    0.31ms |        293 |     0.068% |    Q3756509 |    10:32:03 PM |     00:03:14
    432010 |                  0.452ms |                   0.411ms |        293 |     0.068% |    Q3756509 |    10:32:03 PM |     00:03:15
    435329 |                   0.45ms |                   0.302ms |        293 |     0.067% |    Q3756509 |    10:32:03 PM |     00:03:16
    438726 |                  0.449ms |                   0.294ms |        294 |     0.067% |    Q3823716 |    10:32:06 PM |     00:03:17
    442643 |                  0.447ms |                   0.255ms |        295 |     0.067% |    Q3855279 |    10:32:07 PM |     00:03:18
    446498 |                  0.446ms |                   0.259ms |        295 |     0.066% |    Q3855279 |    10:32:07 PM |     00:03:19
    450120 |                  0.444ms |                   0.276ms |        295 |     0.066% |    Q3855279 |    10:32:07 PM |     00:03:20
    454341 |                  0.443ms |                   0.237ms |        295 |     0.065% |    Q3855279 |    10:32:07 PM |     00:03:21
    458722 |                   0.44ms |                   0.228ms |        296 |     0.065% |    Q4006434 |    10:32:11 PM |     00:03:22
    462155 |                  0.439ms |                   0.291ms |        296 |     0.064% |    Q4006434 |    10:32:11 PM |     00:03:23
    465577 |                  0.438ms |                   0.292ms |        296 |     0.064% |    Q4006434 |    10:32:11 PM |     00:03:24
    469065 |                  0.437ms |                   0.287ms |        304 |     0.065% |    Q4119889 |    10:32:14 PM |     00:03:25
    472617 |                  0.436ms |                   0.282ms |        304 |     0.064% |    Q4119889 |    10:32:14 PM |     00:03:26
    476245 |                  0.435ms |                   0.276ms |        304 |     0.064% |    Q4119889 |    10:32:14 PM |     00:03:27
    479785 |                  0.434ms |                   0.282ms |        304 |     0.063% |    Q4119889 |    10:32:14 PM |     00:03:28
    483329 |                  0.433ms |                   0.282ms |        304 |     0.063% |    Q4119889 |    10:32:14 PM |     00:03:29
    486909 |                  0.431ms |                   0.279ms |        304 |     0.062% |    Q4119889 |    10:32:14 PM |     00:03:30
    490635 |                   0.43ms |                   0.268ms |        305 |     0.062% |    Q4319750 |    10:32:20 PM |     00:03:31
    494273 |                  0.429ms |                   0.275ms |        305 |     0.062% |    Q4319750 |    10:32:20 PM |     00:03:32
    498048 |                  0.428ms |                   0.265ms |        308 |     0.062% |    Q4391978 |    10:32:22 PM |     00:03:33
    501592 |                  0.427ms |                   0.282ms |        308 |     0.061% |    Q4391978 |    10:32:22 PM |     00:03:34
    505569 |                  0.425ms |                   0.251ms |        310 |     0.061% |    Q4459859 |    10:32:24 PM |     00:03:35
    509384 |                  0.424ms |                   0.262ms |        310 |     0.061% |    Q4459859 |    10:32:24 PM |     00:03:36
    512947 |                  0.423ms |                   0.281ms |        310 |      0.06% |    Q4459859 |    10:32:24 PM |     00:03:37
    517689 |                  0.421ms |                   0.211ms |        310 |      0.06% |    Q4459859 |    10:32:24 PM |     00:03:38
    524630 |                  0.418ms |                   0.144ms |        310 |     0.059% |    Q4459859 |    10:32:24 PM |     00:03:39
    528723 |                  0.416ms |                   0.244ms |        312 |     0.059% |    Q4675817 |    10:32:29 PM |     00:03:40
